2023-07-02 11:59:07,479 INFO  [main] c.n.f.b.BaseTest - Extent Report Initialized successfully
2023-07-02 11:59:14,990 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: button, Text: ✕]
2023-07-02 11:59:15,071 INFO  [main] c.n.f.b.BaseTest - Test 'VerifyCorrectRatesAfterDiscount' started.
2023-07-02 11:59:15,207 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: input, Text: ]
2023-07-02 11:59:15,303 INFO  [main] c.n.f.b.BaseTest - Clicked on element: Element [Tag: input, Text: ]
2023-07-02 11:59:15,692 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: button, Text: ]
2023-07-02 11:59:15,872 INFO  [main] c.n.f.b.BaseTest - Clicked on element: Element [Tag: button, Text: ]
2023-07-02 11:59:16,955 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: a, Text: SAMSUNG T7 1 TB External Solid State Drive (SSD)]
2023-07-02 11:59:17,105 INFO  [main] c.n.f.b.BaseTest - Clicked on element: Element [Tag: a, Text: SAMSUNG T7 1 TB External Solid State Drive (SSD)]
