2023-07-02 11:06:50,212 INFO  [main] c.n.f.b.BaseTest - Extent Report Initialized successfully
2023-07-02 11:07:10,478 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: button, Text: ✕]
2023-07-02 11:07:10,553 INFO  [main] c.n.f.b.BaseTest - Test 'VerifyCorrectRatesAfterDiscount' started.
2023-07-02 11:07:10,736 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: input, Text: ]
2023-07-02 11:07:10,926 INFO  [main] c.n.f.b.BaseTest - Clicked on element: Element [Tag: input, Text: ]
2023-07-02 11:07:11,382 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: button, Text: ]
2023-07-02 11:07:11,551 INFO  [main] c.n.f.b.BaseTest - Clicked on element: Element [Tag: button, Text: ]
2023-07-02 11:07:12,823 INFO  [main] c.n.f.b.BaseTest - Clicking on element: Element [Tag: a, Text: SAMSUNG T7 1 TB External Solid State Drive (SSD)]
2023-07-02 11:07:13,035 INFO  [main] c.n.f.b.BaseTest - Clicked on element: Element [Tag: a, Text: SAMSUNG T7 1 TB External Solid State Drive (SSD)]
